State_abb,State,Date,Lat,Lon,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
RI,Rhode Island,3/1/2020,39.28655632,-67.38505529,1,0,0,0,0,0,0,0,0,0
TX,Texas,3/1/2020,31.51025632,-98.252124,2,0,0,0,0,0,0,0,0,0
WA,Washington,3/1/2020,46.70352869,-119.3591342,11,1,1,0,0,0,0,0,0,0
WI,Wisconsin,3/1/2020,44.11921289,-89.35496561,8,0,6,0,0,0,0,0,0,0
AZ,Arizona,3/2/2020,32.92311986,-109.0097148,4,0,2,0,0,0,0,0,0,0
CA,California,3/2/2020,37.42948681,-120.2166639,19,0,1,0,0,0,0,0,0,0
FL,Florida,3/2/2020,28.67133583,-82.17483308,9,0,0,0,0,0,0,0,0,0
IL,Illinois,3/2/2020,39.79487369,-88.65905633,12,0,6,0,0,0,0,0,0,0
MA,Massachusetts,3/2/2020,40.98575192,-69.50445945,4,0,2,0,0,0,0,0,0,0
NE,Nebraska,3/2/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
NH,New Hampshire,3/2/2020,42.70899125,-70.33397717,1,0,0,0,0,0,0,0,0,0
NY,New York,3/2/2020,42.21578381,-74.85121939,3,0,0,0,0,0,0,0,0,0
OR,Oregon,3/2/2020,44.56902041,-121.6431079,10,0,0,0,0,0,0,0,0,0
RI,Rhode Island,3/2/2020,39.28655632,-67.38505529,10,0,0,0,0,0,0,0,0,0
TX,Texas,3/2/2020,31.51025632,-98.252124,3,0,0,0,0,0,0,0,0,0
WA,Washington,3/2/2020,46.70352869,-119.3591342,18,6,1,0,0,0,0,0,0,0
WI,Wisconsin,3/2/2020,44.11921289,-89.35496561,8,0,7,0,0,0,0,0,0,0
AZ,Arizona,3/3/2020,32.92311986,-109.0097148,4,0,0,0,0,0,0,0,0,0
CA,California,3/3/2020,37.42948681,-120.2166639,40,0,2,0,0,0,0,0,0,0
FL,Florida,3/3/2020,28.67133583,-82.17483308,14,0,0,0,0,0,0,0,0,0
GA,Georgia,3/3/2020,32.72528337,-83.33925179,8,0,0,0,0,0,0,0,0,0
IL,Illinois,3/3/2020,39.79487369,-88.65905633,12,0,5,0,0,0,0,0,0,0
MA,Massachusetts,3/3/2020,40.98575192,-69.50445945,5,0,0,0,0,0,0,0,0,0
NC,North Carolina,3/3/2020,35.58550831,-79.41116704,7,0,0,0,0,0,0,0,0,0
NE,Nebraska,3/3/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
NH,New Hampshire,3/3/2020,42.70899125,-70.33397717,10,0,0,0,0,0,0,0,0,0
NY,New York,3/3/2020,42.21578381,-74.85121939,6,0,0,0,0,0,0,0,0,0
OR,Oregon,3/3/2020,44.56902041,-121.6431079,9,0,0,0,0,0,0,0,0,0
RI,Rhode Island,3/3/2020,39.28655632,-67.38505529,10,0,0,0,0,0,0,0,0,0
TX,Texas,3/3/2020,31.51025632,-98.252124,3,0,0,0,0,0,0,0,0,0
WA,Washington,3/3/2020,46.70352869,-119.3591342,27,7,1,0,0,0,0,0,0,0
WI,Wisconsin,3/3/2020,44.11921289,-89.35496561,7,0,7,0,0,0,0,0,0,0
AZ,Arizona,3/4/2020,32.92311986,-109.0097148,3,0,0,0,0,0,0,0,0,0
CA,California,3/4/2020,37.42948681,-120.2166639,55,2,0,0,0,0,0,0,0,0
FL,Florida,3/4/2020,28.67133583,-82.17483308,8,0,0,0,0,0,0,0,0,0
GA,Georgia,3/4/2020,32.72528337,-83.33925179,6,0,0,0,0,0,0,0,0,0
IL,Illinois,3/4/2020,39.79487369,-88.65905633,11,0,5,0,0,0,0,0,0,0
MA,Massachusetts,3/4/2020,40.98575192,-69.50445945,6,0,1,0,0,0,0,0,0,0
NC,North Carolina,3/4/2020,35.58550831,-79.41116704,6,0,0,0,0,0,0,0,0,0
NE,Nebraska,3/4/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
NH,New Hampshire,3/4/2020,42.70899125,-70.33397717,10,0,0,0,0,0,0,0,0,0
NY,New York,3/4/2020,42.21578381,-74.85121939,10,0,0,0,0,0,0,0,0,0
OR,Oregon,3/4/2020,44.56902041,-121.6431079,8,0,0,0,0,0,0,0,0,0
RI,Rhode Island,3/4/2020,39.28655632,-67.38505529,10,0,0,0,0,0,0,0,0,0
TX,Texas,3/4/2020,31.51025632,-98.252124,4,0,0,0,0,0,0,0,0,0
WA,Washington,3/4/2020,46.70352869,-119.3591342,39,10,1,0,0,0,0,0,0,0
WI,Wisconsin,3/4/2020,44.11921289,-89.35496561,6,0,6,0,0,0,0,0,0,0
AZ,Arizona,3/5/2020,32.92311986,-109.0097148,2,0,0,0,0,0,0,0,0,0
CA,California,3/5/2020,37.42948681,-120.2166639,70,0,7,0,0,0,0,0,0,0
FL,Florida,3/5/2020,28.67133583,-82.17483308,6,0,0,0,0,0,0,0,0,0
